"path","index","name","family","style","weight","width","italic","monospace"
"C:\WINDOWS\Fonts\arial.ttf",0,"ArialMT","Arial","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\ariblk.ttf",0,"Arial-Black","Arial","Black","heavy","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\arialbd.ttf",0,"Arial-BoldMT","Arial","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\arialbi.ttf",0,"Arial-BoldItalicMT","Arial","Bold Italic","bold","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\ariali.ttf",0,"Arial-ItalicMT","Arial","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\bahnschrift.ttf",0,"Bahnschrift","Bahnschrift","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\calibri.ttf",0,"Calibri","Calibri","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\calibrib.ttf",0,"Calibri-Bold","Calibri","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\calibriz.ttf",0,"Calibri-BoldItalic","Calibri","Bold Italic","bold","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\calibrii.ttf",0,"Calibri-Italic","Calibri","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\calibril.ttf",0,"Calibri-Light","Calibri","Light","light","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\calibrili.ttf",0,"Calibri-LightItalic","Calibri","Light Italic","light","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\cambria.ttc",0,"Cambria","Cambria","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\cambria.ttc",1,"CambriaMath","Cambria Math","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\cambriab.ttf",0,"Cambria-Bold","Cambria","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\cambriaz.ttf",0,"Cambria-BoldItalic","Cambria","Bold Italic","bold","normal",TRUE,FALSE
